Ntriples,Ntrials,Mean Query2(ms), Std Query2(ms), Nres Query2,Mean Query3(ms), Std Query3(ms), Nres Query3,Mean Query4(ms), Std Query4(ms), Nres Query4,Mean Query5(ms), Std Query5(ms), Nres Query5,Mean Query6(ms), Std Query6(ms), Nres Query6,Mean Query7(ms), Std Query7(ms), Nres Query7
101659,10,4.80,0.60,16,3.80,0.60,16,1.10,0.30,4,3089.60,493.90,2,3284.30,478.01,10,179.80,25.51,10
102645,10,3.20,0.40,16,1.30,0.64,1,1.30,0.46,4,3282.70,606.69,2,3319.80,636.49,10,183.00,32.61,10
103639,10,4.40,0.92,16,10.10,17.31,16,1.00,0.00,4,3317.80,700.76,2,3158.90,515.32,10,309.50,383.09,10
104613,10,4.10,0.70,16,3.60,0.80,16,1.00,0.45,4,3316.10,542.20,2,3210.20,497.53,10,353.80,408.83,10
105549,10,4.50,0.81,16,4.50,0.50,16,1.50,0.50,4,3284.40,537.16,2,3227.00,502.77,10,307.10,370.70,10
106547,10,1.40,0.49,1,9.20,14.94,16,0.80,0.40,1,3325.40,553.02,1,3182.80,467.19,10,311.20,367.01,10
107455,10,3.70,0.78,16,1.10,0.30,1,6.80,16.74,4,3278.30,594.09,2,3394.00,554.75,10,196.00,38.87,10
108379,10,3.50,0.81,16,4.50,0.50,16,1.60,0.49,4,3320.40,568.59,2,3367.80,520.44,10,190.40,31.17,10
109351,10,1.40,0.49,1,3.80,0.98,16,0.70,0.46,1,3327.60,571.91,2,3560.80,503.19,10,199.20,31.64,10
110316,10,3.10,0.54,16,3.60,0.80,16,1.40,0.49,4,3480.60,510.20,2,3393.20,543.97,10,295.90,359.16,10
111266,10,1.20,0.40,1,1.20,0.40,1,1.10,0.30,4,3382.70,631.12,2,3496.10,611.75,10,187.70,27.95,10
112226,10,4.20,0.75,16,1.40,0.49,1,1.50,0.50,4,3365.70,577.67,2,3496.40,604.75,10,196.70,17.88,10
113196,10,1.00,0.00,1,3.80,0.60,16,1.60,0.66,4,3418.60,556.03,2,3520.80,573.90,10,185.70,21.81,10
114167,10,3.70,0.64,16,1.30,0.46,1,1.40,0.49,4,3571.20,576.90,2,3737.60,569.52,10,216.60,40.98,10
115114,10,4.40,0.66,16,4.00,0.77,16,1.60,0.66,4,3595.40,576.33,2,3595.60,573.67,10,195.30,38.17,10
116106,10,3.30,0.78,16,3.40,0.66,16,0.80,0.60,1,3439.20,525.18,2,3757.90,541.53,10,208.80,36.34,10
117049,10,3.50,1.02,16,3.60,0.66,16,1.00,0.45,4,3557.10,534.03,1,3572.50,515.71,10,247.90,367.41,10
118051,10,4.10,0.30,16,1.40,0.49,1,1.10,0.30,4,3602.00,553.74,2,3643.00,625.54,10,299.50,350.13,10
118977,10,1.40,0.66,1,3.10,0.94,16,1.10,0.30,4,3791.70,663.21,2,3618.10,544.23,10,306.30,346.34,10
119926,10,3.80,1.08,16,1.00,0.00,1,0.60,0.49,1,3715.90,524.94,2,3711.30,515.06,10,227.20,35.22,10
120853,10,9.00,13.02,16,4.80,0.60,16,0.90,0.30,1,3699.30,540.55,1,3702.10,553.87,10,234.90,45.92,10
121797,10,4.10,0.30,16,1.40,0.49,1,1.30,0.46,4,3712.30,539.34,2,3715.30,544.09,10,305.10,351.69,10
122816,10,0.80,0.40,1,3.70,0.78,16,1.10,0.54,4,3692.80,573.88,2,3920.00,562.64,10,195.10,20.99,10
123795,10,3.70,0.78,16,3.10,0.54,16,1.40,0.49,4,3770.20,548.21,2,3843.10,559.40,10,193.50,34.20,10
124763,10,4.00,0.63,16,1.20,0.40,1,1.20,0.60,4,3751.70,546.44,2,3906.50,533.04,10,202.20,43.99,10
125796,10,4.90,0.83,16,4.70,0.64,16,1.70,0.46,4,3950.40,721.72,2,3907.30,627.53,10,195.20,30.75,10
126762,10,1.30,0.46,1,1.10,0.30,1,0.60,0.49,1,3992.80,659.00,1,4015.20,535.29,10,197.80,30.14,10
127738,10,3.80,0.60,16,4.20,0.40,16,1.20,0.40,4,3882.20,625.00,1,3878.20,533.17,10,215.10,46.50,10
128726,10,2.80,0.40,16,2.90,0.54,16,1.10,0.30,4,3920.50,624.58,1,4060.70,509.13,10,323.60,360.95,10
129682,10,4.20,0.40,16,3.50,0.67,16,1.10,0.30,4,3906.90,498.46,2,3973.50,602.97,10,191.00,22.40,10
130606,10,3.90,0.54,16,1.20,0.40,1,1.10,0.54,4,3974.10,668.87,1,3957.40,515.54,10,223.40,58.41,10
131587,10,4.70,0.78,16,3.30,0.90,16,1.10,0.54,4,3963.00,597.20,2,3960.50,501.53,10,241.70,39.37,10
132597,10,3.70,0.78,16,4.00,0.63,16,0.70,0.46,1,3869.30,574.50,2,4051.50,638.86,10,313.00,354.27,10
133536,10,1.20,0.60,1,4.00,1.10,16,1.00,0.45,4,3926.90,603.52,1,4182.50,479.11,10,207.40,36.11,10
