Ntriples,Ntrials,Mean Query2(ms), Std Query2(ms), Nres Query2,Mean Query3(ms), Std Query3(ms), Nres Query3,Mean Query4(ms), Std Query4(ms), Nres Query4,Mean Query5(ms), Std Query5(ms), Nres Query5,Mean Query6(ms), Std Query6(ms), Nres Query6,Mean Query7(ms), Std Query7(ms), Nres Query7
771302,10,4.50,9.52,1,3.00,0.63,16,1.50,0.67,4,1784.70,527.33,1,1618.90,56.32,10,191.80,433.08,10
772280,10,5.60,11.47,16,1.50,0.50,16,0.60,0.49,4,1878.70,606.00,1,2262.30,632.65,10,53.20,34.46,10
773210,10,4.90,10.38,16,1.70,0.46,16,0.80,0.40,1,2147.50,636.22,1,2256.50,700.39,10,305.60,524.60,10
774177,10,5.50,12.18,16,0.90,0.30,1,0.70,0.46,4,1954.50,518.71,2,2402.10,1120.40,10,51.80,14.38,10
775165,10,4.70,9.45,16,1.90,0.30,16,1.00,0.45,1,1585.10,397.69,2,1715.70,355.11,10,46.10,4.91,10
776133,10,5.10,9.97,16,1.20,0.40,1,1.10,0.30,4,1870.30,921.47,2,1701.70,408.23,10,45.80,5.83,10
777100,10,5.10,8.98,16,2.00,0.63,16,0.70,0.46,1,1513.80,352.22,1,2065.50,703.67,10,228.40,521.90,10
778091,10,128.10,379.97,16,0.90,0.30,1,1.10,0.30,4,2037.00,571.35,1,2370.70,643.77,10,58.90,33.52,10
779037,10,6.20,15.27,1,2.00,0.00,16,1.20,0.40,4,2248.60,614.36,2,2425.90,603.41,10,56.70,33.47,10
779990,10,5.80,10.42,16,2.50,0.81,16,1.40,0.49,1,1873.20,714.76,2,1812.50,443.90,10,44.20,7.04,10
780953,10,5.90,13.37,16,1.20,0.40,1,0.90,0.54,4,1646.60,452.01,2,1837.80,693.03,10,52.00,18.09,10
781904,10,3.80,8.74,1,1.40,0.49,16,0.60,0.49,4,1476.80,59.81,1,1964.20,542.21,10,48.50,7.49,10
782920,10,6.20,12.94,16,1.90,0.30,16,0.90,0.54,1,2021.50,632.62,1,2479.90,909.17,10,64.30,31.82,10
783889,10,5.20,10.27,16,0.80,0.40,1,0.60,0.49,1,2184.40,702.09,2,2519.70,1086.80,10,64.60,36.44,10
784817,10,5.50,8.89,16,2.40,0.80,16,0.90,0.30,1,2127.80,666.01,2,2328.20,1324.99,10,52.50,16.23,10
785809,10,7.20,16.94,16,1.10,0.30,1,0.90,0.30,4,1648.60,394.74,2,2140.40,1001.98,10,44.10,5.58,10
786754,10,5.30,10.57,16,1.50,0.50,16,1.00,0.45,1,1688.00,395.72,1,1740.10,416.87,10,50.30,16.46,10
